player_id,name,name_normalized,birth_date,nationality,position,foot,height_cm,weight_kg,source,source_id
sb_37338,Nathan Patterson,nathan patterson,,Scotland,,,,,statsbomb,37338
sb_43563,Kevin Nisbet,kevin nisbet,,Scotland,,,,,statsbomb,43563
sb_31064,Aleš Matějů,ales mateju,,Czech Republic,,,,,statsbomb,31064
sb_8056,Fredrik Jensen,fredrik jensen,,Finland,,,,,statsbomb,8056
sb_8667,Lukáš Hrádecký,lukas hradecky,,Finland,,,,,statsbomb,8667
sb_9476,Teemu Pukki,teemu pukki,,Finland,,,,,statsbomb,9476
sb_9725,Joel Pohjanpalo,joel pohjanpalo,,Finland,,,,,statsbomb,9725
sb_10832,Pyry Henri Hidipo Soiri,pyry henri hidipo soiri,,Finland,,,,,statsbomb,10832
sb_12148,Marcus Forss,marcus forss,,Finland,,,,,statsbomb,12148
sb_12807,Rasmus Schüller,rasmus schuller,,Finland,,,,,statsbomb,12807
sb_13215,Glen Kamara,glen kamara,,Finland,,,,,statsbomb,13215
sb_13574,Anssi Jaakkola,anssi jaakkola,,Finland,,,,,statsbomb,13574
sb_15416,Jukka Raitala,jukka raitala,,Finland,,,,,statsbomb,15416
sb_16302,Jesse Joronen,jesse joronen,,Finland,,,,,statsbomb,16302
sb_16550,Jere Juhani Uronen,jere juhani uronen,,Finland,,,,,statsbomb,16550
sb_21442,Leo Onni Artturi Väisänen,leo onni artturi vaisanen,,Finland,,,,,statsbomb,21442
sb_24321,Robin Lod,robin lod,,Finland,,,,,statsbomb,24321
sb_24455,Paulus Arajuuri,paulus arajuuri,,Finland,,,,,statsbomb,24455
sb_24648,Tim Sparv,tim sparv,,Finland,,,,,statsbomb,24648
sb_26939,Joona Toivio,joona toivio,,Finland,,,,,statsbomb,26939
sb_29946,Robert Taylor,robert taylor,,Finland,,,,,statsbomb,29946
sb_29955,Onni Johannes Simonpoika Valakari,onni johannes simonpoika valakari,,Finland,,,,,statsbomb,29955
sb_38196,Daniel O''Shaughnessy,daniel o shaughnessy,,Finland,,,,,statsbomb,38196
sb_41828,Nikolai Alho,nikolai alho,,Finland,,,,,statsbomb,41828
sb_41920,Robert Ivanov,robert ivanov,,Finland,,,,,statsbomb,41920
sb_11278,Karim Onisiwo,karim onisiwo,,Austria,,,,,statsbomb,11278
sb_44192,Denis Makarov,denis makarov,,Russia,,,,,statsbomb,44192
sb_44199,Daniil Fomin,daniil fomin,,Russia,,,,,statsbomb,44199
sb_28332,Lassi Lappalainen,lassi lappalainen,,Finland,,,,,statsbomb,28332
sb_34534,Rıdvan Yılmaz,ridvan yilmaz,,Turkey,,,,,statsbomb,34534
sb_3144,Léo Dubois,leo dubois,,France,,,,,statsbomb,3144
sb_46378,Tamás Cseri,tamas cseri,,Hungary,,,,,statsbomb,46378
sb_79345,Marjan Radeski,marjan radeski,,"Macedonia, Republic of",,,,,statsbomb,79345
sb_16301,Nicolai Møller Boilesen,nicolai moller boilesen,,Denmark,,,,,statsbomb,16301
sb_16566,Anders Christiansen,anders christiansen,,Denmark,,,,,statsbomb,16566
sb_7890,Owen Wijndal,owen wijndal,,Netherlands,,,,,statsbomb,7890
sb_32753,Denys Popov,denys popov,,Ukraine,,,,,statsbomb,32753
sb_22026,Michal Sadílek,michal sadilek,,Czech Republic,,,,,statsbomb,22026
sb_15854,Marco Friedl,marco friedl,,Austria,,,,,statsbomb,15854
sb_27008,Jordan Larsson,jordan larsson,,Sweden,,,,,statsbomb,27008
sb_24604,Nicholas Hamalainen,nicholas hamalainen,,Finland,,,,,statsbomb,24604
sb_10142,Sandra Paños García-Villamil,sandra panos garcia-villamil,,Spain,,,,,statsbomb,10142
sb_10143,Alexia Putellas Segura,alexia putellas segura,,Spain,,,,,statsbomb,10143
sb_10148,Marta Torrejón Moya,marta torrejon moya,,Spain,,,,,statsbomb,10148
sb_10150,Andrea Pereira Cejudo,andrea pereira cejudo,,Spain,,,,,statsbomb,10150
sb_10151,Jennifer Hermoso Fuentes,jennifer hermoso fuentes,,Spain,,,,,statsbomb,10151
sb_10153,Silvia Meseguer Bellido,silvia meseguer bellido,,Spain,,,,,statsbomb,10153
sb_10154,Amanda Sampedro Bustos,amanda sampedro bustos,,Spain,,,,,statsbomb,10154
sb_10155,María Pilar León Cebrián,maria pilar leon cebrian,,Spain,,,,,statsbomb,10155
sb_10158,María Victoria Losada Gómez,maria victoria losada gomez,,Spain,,,,,statsbomb,10158
sb_10161,María Francesca Caldentey Oliver,maria francesca caldentey oliver,,Spain,,,,,statsbomb,10161
sb_10163,Leila Ouahabi El Ouahabi,leila ouahabi el ouahabi,,Spain,,,,,statsbomb,10163
sb_10165,Irene Paredes Hernandez,irene paredes hernandez,,Spain,,,,,statsbomb,10165
sb_10200,Marta Corredera Rueda,marta corredera rueda,,Spain,,,,,statsbomb,10200
sb_10202,Virginia Torrecilla Reyes,virginia torrecilla reyes,,Spain,,,,,statsbomb,10202
sb_15284,Aitana Bonmati Conca,aitana bonmati conca,,Spain,,,,,statsbomb,15284
sb_15287,Patricia Guijarro Gutiérrez,patricia guijarro gutierrez,,Spain,,,,,statsbomb,15287
sb_25510,Nahikari García Pérez,nahikari garcia perez,,Spain,,,,,statsbomb,25510
sb_25513,Lucía García Córdoba,lucia garcia cordoba,,Spain,,,,,statsbomb,25513
sb_25840,Celia Jiménez Delgado,celia jimenez delgado,,Spain,,,,,statsbomb,25840
sb_25842,Andrea Sánchez Falcón,andrea sanchez falcon,,Spain,,,,,statsbomb,25842
sb_45667,María Dolores Gallardo Nuñez,maria dolores gallardo nunez,,Spain,,,,,statsbomb,45667
sb_49831,Ivana Andrés Sanz,ivana andres sanz,,Spain,,,,,statsbomb,49831
sb_50355,María Asunción Quiñones Goikoetxea,maria asuncion quinones goikoetxea,,Spain,,,,,statsbomb,50355
sb_10257,Almuth Schult,almuth schult,,Germany,,,,,statsbomb,10257
sb_10258,Linda Dallmann,linda dallmann,,Germany,,,,,statsbomb,10258
sb_10259,Lina Magull,lina magull,,Germany,,,,,statsbomb,10259
sb_10261,Sara Doorsoun-Khajeh,sara doorsoun-khajeh,,Germany,,,,,statsbomb,10261
sb_10263,Sara Däbritz,sara dabritz,,Germany,,,,,statsbomb,10263
sb_10266,Lena Goeßling,lena goessling,,Germany,,,,,statsbomb,10266
sb_10374,Svenja Huth,svenja huth,,Germany,,,,,statsbomb,10374
sb_10376,Carolin Simon,carolin simon,,Germany,,,,,statsbomb,10376
sb_10380,Leonie Maier,leonie maier,,Germany,,,,,statsbomb,10380
sb_10399,Kathrin Julia Hendrich,kathrin julia hendrich,,Germany,,,,,statsbomb,10399
sb_15178,Alexandra Popp,alexandra popp,,Germany,,,,,statsbomb,15178
sb_15423,Verena Schweers,verena schweers,,Germany,,,,,statsbomb,15423
sb_15443,Merle Frohms,merle frohms,,Germany,,,,,statsbomb,15443
sb_15648,Melanie Leupolz,melanie leupolz,,Germany,,,,,statsbomb,15648
sb_24882,Laura Anna Benkarth,laura anna benkarth,,Germany,,,,,statsbomb,24882
sb_25476,Lea Schüller,lea schuller,,Germany,,,,,statsbomb,25476
sb_25478,Lena Oberdorf,lena oberdorf,,Germany,,,,,statsbomb,25478
sb_25491,Marina Hegering,marina hegering,,Germany,,,,,statsbomb,25491
sb_25492,Giulia Gwinn,giulia gwinn,,Germany,,,,,statsbomb,25492
sb_25729,Klara Bühl,klara buhl,,Germany,,,,,statsbomb,25729
sb_45286,Turid Knaak,turid knaak,,Germany,,,,,statsbomb,45286
sb_46971,Johanna Elsig,johanna elsig,,Germany,,,,,statsbomb,46971
sb_4949,Rosemary Kathleen Lavelle,rosemary kathleen lavelle,,United States of America,,,,,statsbomb,4949
sb_4999,Lindsey Michelle Horan,lindsey michelle horan,,United States of America,,,,,statsbomb,4999
sb_5001,Allie Long,allie long,,United States of America,,,,,statsbomb,5001
sb_5003,Emily Ann Sonnett,emily ann sonnett,,United States of America,,,,,statsbomb,5003
sb_5013,Tobin Powell Heath,tobin powell heath,,United States of America,,,,,statsbomb,5013
sb_5021,Kelley Maureen O'Hara,kelley maureen o hara,,United States of America,,,,,statsbomb,5021
sb_5023,Mallory Pugh,mallory pugh,,United States of America,,,,,statsbomb,5023
sb_5030,Rebecca Elizabeth Sauerbrunn,rebecca elizabeth sauerbrunn,,United States of America,,,,,statsbomb,5030
sb_5034,Jessica McDonald,jessica mcdonald,,United States of America,,,,,statsbomb,5034
sb_5081,Abby Dahlkemper,abby dahlkemper,,United States of America,,,,,statsbomb,5081
